Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,BallCentroidDistanceAtBrimPlane,BallCentroidDistanceMin,DistanceMiss,LateralMiss,LongitudeMiss,BallSpeedMax,BallAltitudeMax,WristSpeedMax,DispatchDistance,DispatchElbowAltitude
5,1,5,Daylight,2,12,Miss,18.736842414345084,18.736842414345084,15.086842414345085,0.0,184.0316,5.4901350687199715,96.82629999999999,2.146253671629265,150.3739,34.7461
5,1,5,Daylight,3,13,Hit,4.618109293856091,2.8887969914249783,0.0,0.0,189.2189,4.8605228691306435,100.39010000000003,2.0245313765064417,159.1329,34.13340000000001
5,1,5,Daylight,4,14,Hit,3.1420553241469267,1.8683152651520174,0.0,0.0,187.21529999999998,4.827529040127101,96.54790000000001,1.9962533371236535,153.9013,33.75380000000001
5,1,5,Daylight,5,15,Miss,13.210434023150043,13.210434023150043,9.560434023150044,0.0,189.7111,5.407376575452105,96.30570000000002,2.120691288828122,152.0857,37.56156654182273
5,1,5,Daylight,6,16,Hit,3.01153302156893,2.1065525129936895,0.0,0.0,195.0828,4.88862731863708,99.96840000000002,2.1857554518362843,165.7072,37.83370000000002
5,1,5,Daylight,7,17,Miss,5.346820481370214,5.346820481370214,1.6968204813702146,0.0,195.1351,4.76766712549061,102.43679999999999,2.111282081138043,168.2269,38.60285084745763
5,1,5,Daylight,8,18,Hit,4.863482798365789,2.720501183281777,0.0,0.0,188.3207,4.8311498264323545,99.17370000000001,2.029761603743912,158.59709999999998,35.02204774774776
5,1,5,Daylight,9,19,Miss,7.4743659142431635,5.472898374718829,1.8228983747188297,0.5277000000000003,190.9545,4.835064154665203,101.92660000000002,2.3494168846375953,163.1629,39.872800000000026
5,1,5,Daylight,10,20,Hit,3.3059905202525974,1.4024684452778284,0.0,0.0,189.13729999999998,4.873168650825904,100.30990000000001,2.0214504734006793,158.9486,35.57070000000003
5,2,6,Darkness,1,1,Miss,12.61472775330487,12.61472775330487,8.96472775330487,0.0,199.7225,5.806897955662159,83.25830000000002,2.395478657521115,156.9084,
5,2,6,Darkness,2,2,Miss,10.727052625954624,10.298758007157948,6.648758007157949,0.0,205.2406,5.142909063535966,79.88850000000002,2.265807947939246,168.13090000000003,
5,2,6,Darkness,3,3,Miss,17.610387127488128,17.610387127488128,13.96038712748813,0.0,214.0119,6.02001569639787,87.33009999999999,1.6161703620475376,161.79430000000002,
5,2,6,Darkness,4,4,Miss,14.581785513783974,6.997321339627044,3.3473213396270447,0.0,200.3672,4.9990537224291005,85.2065,2.1230193739387606,172.1782,45.74600000000001
5,2,6,Darkness,5,5,Miss,6.728895473255628,6.113438687841734,2.4634386878417347,0.5477000000000007,205.09740000000002,5.092065593879223,83.98979999999997,2.3551679191504724,171.27270000000001,
5,2,6,Darkness,6,6,Miss,9.376268634163598,6.842219251821746,3.1922192518217463,0.0,201.6373,5.105723431662042,82.4897,2.1743623460607293,165.4326,
5,2,6,Darkness,7,7,Miss,9.492791785349555,6.109716618632997,2.4597166186329975,0.0,196.2125,5.149515962919146,81.01089999999999,2.2011351617163304,160.0005,44.5423
5,2,6,Darkness,8,8,Miss,13.154985791326409,10.845537493826662,7.195537493826662,1.6843000000000012,196.4265,5.284896363399176,81.9528,2.2050206521328293,158.39380000000003,
5,2,6,Darkness,9,9,Miss,10.560014103210285,10.560014103210285,6.910014103210286,0.0,203.0302,6.056005998268042,81.39250000000001,2.518466973139802,155.3325,45.049199999999985
5,2,6,Darkness,10,10,Hit,3.856074431335574,1.873942776607644,0.0,0.0,207.8988,5.390669227283312,82.77710000000002,2.2292115092976736,166.04180000000002,
5,2,6,Daylight,1,11,Miss,9.500031126791116,6.473906706155114,2.823906706155115,22.0328,205.4089,5.377235872032711,86.2488,2.1625971342904586,165.3685,
5,2,6,Daylight,2,12,Hit,4.0912139286524685,1.098593719470144,0.0,0.0,200.8323,5.376644975539814,80.70209999999999,2.3604246155397504,158.6065,
5,2,6,Daylight,3,13,Miss,8.605721602515386,5.530696196682672,1.8806961966826723,25.103099999999998,205.47209999999998,5.29566976839446,84.98479999999999,2.3187148400598927,165.8863,
5,2,6,Daylight,4,14,Miss,5.190704430999694,5.190704430999694,1.5407044309996945,0.0,199.6172,5.380033189989689,80.12219999999998,2.3729336916697963,158.12130000000002,
5,2,6,Daylight,5,15,Miss,10.83662805950264,6.251407126399626,2.601407126399627,0.49680000000000124,203.02310000000003,5.281042518363467,77.1888,2.3442466924281953,157.068,
5,2,6,Daylight,6,16,Miss,13.47607678258031,7.6312694579604665,3.981269457960467,33.8452,197.0074,5.229398981523921,80.21310000000001,2.0887861155761316,159.6982,
5,2,6,Daylight,7,17,Miss,6.872180941302402,6.0097517269850655,2.359751726985066,2.3370000000000006,201.04330000000002,5.273830351524181,79.25659999999998,2.399524005709273,162.39170000000001,45.2475
5,2,6,Daylight,8,18,Miss,5.9652975525115135,5.9652975525115135,2.315297552511514,0.0,206.59689999999998,5.645369430536303,78.60879999999999,2.4137984888224726,162.0445,42.410899999999984
5,2,6,Daylight,9,19,Miss,9.495816549407435,5.621669397963578,1.9716693979635789,0.0,198.78310000000002,5.187559536078952,77.17569999999999,2.3307090551103036,158.77970000000002,42.628
5,2,6,Daylight,10,20,Miss,11.40650124578085,6.086098579549972,2.4360985795499728,0.0,204.4989,5.1859349490191855,78.10599999999998,2.2917958751263923,167.7912,
7,1,7,Darkness,1,1,Hit,3.9799367193461697,0.47624424405968896,0.0,0.0,203.9785,5.468540001046548,81.33319999999999,2.081217542613396,159.87470000000002,
7,1,7,Darkness,2,2,Miss,5.232776591829617,4.71631608567534,1.0663160856753402,1.2171000000000012,201.91469999999998,5.711610130985225,79.63879999999999,2.221466346319972,151.6545,
7,1,7,Darkness,3,3,Hit,4.978272524681627,2.943975242052108,0.0,0.0,199.5972,5.4352308779558545,80.52279999999998,2.055348967131427,154.0625,
7,1,7,Darkness,4,4,Miss,5.959461980749597,5.959461980749597,2.3094619807495977,0.0,201.0405,6.09932716172934,80.2606,2.197119783196223,152.71,
7,1,7,Darkness,5,5,Miss,8.277468140077623,5.485234345039426,1.8352343450394262,47.109,197.5092,5.531978998205758,77.91669999999998,2.1377127678305716,151.5417,
7,1,7,Darkness,6,6,Hit,3.7974658773977072,2.1657863375688673,0.0,0.0,202.97119999999998,5.673269325374307,77.06689999999999,2.3090347174562575,154.8327,
7,1,7,Darkness,7,7,Miss,11.684078310247681,5.461092481363053,1.8110924813630538,37.5987,202.5925,5.540570814688551,77.33370000000001,2.314522758680541,159.19830000000002,
7,1,7,Darkness,8,8,Miss,4.9267761964595,4.9267761964595,1.2767761964595001,0.6047000000000002,196.38899999999998,6.012187391226182,77.0253,2.5054093128754307,139.8628,45.85789999999999
7,1,7,Darkness,9,9,Hit,4.126705209970774,2.688399203987391,0.0,1.1691724137931034,198.4025,5.672103292030259,76.89469999999999,2.3880606476629334,144.25830000000002,
7,1,7,Darkness,10,10,Miss,6.183455892136699,5.769635955586795,2.119635955586795,71.66760000000001,195.3617,5.793079427265109,76.0602,2.3785828847467694,141.2739,46.3608
7,1,7,Daylight,1,11,Miss,11.454481318243973,11.454481318243973,7.804481318243973,4.184400000000001,190.703,6.066638395300032,74.6736,2.4554735977996094,142.3054,36.141035202205885
7,1,7,Daylight,2,12,Miss,7.455351658372663,5.4460243352375866,1.796024335237587,0.0,198.1754,5.52679506592269,74.781,2.5528615621171813,152.3095,43.28070000000001
7,1,7,Daylight,3,13,Miss,7.291288070704651,7.291288070704651,3.6412880707046513,0.0,197.5795,6.077951086034574,73.9745,2.404785112971008,146.51510000000002,
7,1,7,Daylight,4,14,Hit,4.719525934879489,1.1115716171259629,0.0,0.0,193.417,5.764113275644553,74.6876,2.569246165757267,141.0747,41.33370000000001
7,1,7,Daylight,5,15,Miss,3.987129456137593,3.987129456137593,0.3371294561375935,3.4417809523809533,191.5415,5.738875935192186,71.9368,2.5565565714655802,138.6806,42.88419999999999
7,1,7,Daylight,6,16,Miss,10.581874409101626,5.52963193711841,1.8796319371184103,45.2959,191.6694,5.546115959989119,72.6309,2.575567863191696,142.5217,40.926000000000016
7,1,7,Daylight,7,17,Miss,9.837526676965101,5.23652744096697,1.5865274409669707,0.0,192.48459999999997,5.2740518033279375,73.8296,2.4379607986440543,147.8722,37.98970000000001
7,1,7,Daylight,8,18,Miss,8.82494694544959,6.832116641275968,3.182116641275969,17.894800000000004,193.63289999999998,5.302762225840462,76.77900000000002,2.4823115191753042,150.5308,44.36710000000001
7,1,7,Daylight,9,19,Hit,2.886873196037542,2.244644662117282,0.0,0.0,195.80079999999998,5.63943894292011,76.15540000000001,2.523540622718271,144.2149,43.71560000000001
