Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
7,2,14,Dark room,10,10,Hit,5.167945689536611
7,2,14,Lit room,1,11,Miss,8.082591577582036
7,2,14,Lit room,2,12,Miss,13.834747739297608
7,2,14,Lit room,3,13,Miss,6.923047251030426
7,2,14,Lit room,4,14,Miss,8.003852308107623
7,2,14,Lit room,5,15,Miss,13.099538725466642
7,2,14,Lit room,6,16,Miss,11.872827596659532
7,2,14,Lit room,7,17,Hit,6.490977501886744
7,2,14,Lit room,8,18,Miss,11.429327322725507
7,2,14,Lit room,9,19,Hit,1.881028256034444
7,2,14,Lit room,10,20,Hit,0.5318695328743624
8,1,15,Dark room,1,1,Miss,10.205262150479028
8,1,15,Dark room,2,2,Miss,11.735863244772403
8,1,15,Dark room,3,3,Miss,15.866686038363518
8,1,15,Dark room,4,4,Miss,3.030578591622381
8,1,15,Dark room,5,5,Miss,6.2959320850847975
8,1,15,Dark room,6,6,Miss,8.765951778329587
8,1,15,Dark room,7,7,Miss,19.65759060642984
8,1,15,Dark room,8,8,Miss,21.911524896729578
8,1,15,Dark room,9,9,Miss,10.22555174648294
8,1,15,Dark room,10,10,Miss,8.23199385871975
8,1,15,Lit room,1,11,Miss,8.10130730499715
8,1,15,Lit room,2,12,Hit,3.0590398820545004
8,1,15,Lit room,3,13,Miss,5.899783457890638
8,1,15,Lit room,4,14,Hit,1.323053079056165
8,1,15,Lit room,5,15,Miss,7.5422085160780306
8,1,15,Lit room,6,16,Hit,2.043702828201789
8,1,15,Lit room,7,17,Miss,8.522657992082046
8,1,15,Lit room,8,18,Miss,17.440188678165164
8,1,15,Lit room,9,19,Hit,2.5333959856287787
8,1,15,Lit room,10,20,Miss,26.80046735413396
8,2,16,Dark room,1,1,Miss,10.784964823772013
8,2,16,Dark room,2,2,Miss,7.328361692083707
8,2,16,Dark room,3,3,Miss,6.141661314335072
8,2,16,Dark room,4,4,Miss,8.331130689768354
8,2,16,Dark room,5,5,Miss,8.810235943492094
8,2,16,Dark room,6,6,Miss,3.6412136232306076
8,2,16,Dark room,7,7,Miss,16.527453599995372
8,2,16,Dark room,8,8,Miss,6.898286664092763
8,2,16,Dark room,9,9,Miss,22.047764395738625
8,2,16,Dark room,10,10,Miss,8.165975885955083
8,2,16,Lit room,1,11,Miss,8.34472331117096
8,2,16,Lit room,2,12,Hit,5.0724231142522145
8,2,16,Lit room,3,13,Miss,10.848852846269041
8,2,16,Lit room,4,14,Miss,7.119994304070748
8,2,16,Lit room,5,15,Hit,5.684673606285601
8,2,16,Lit room,6,16,Miss,4.4063604312402775
8,2,16,Lit room,7,17,Miss,8.732526253610699
8,2,16,Lit room,8,18,Hit,1.7459512622063615
8,2,16,Lit room,9,19,Hit,4.0847057091056165
8,2,16,Lit room,10,20,Miss,15.592250286600718
9,1,17,Dark room,1,1,Miss,1.9609125758177126
9,1,17,Dark room,2,2,Miss,5.768349293342068
9,1,17,Dark room,3,3,Miss,8.108746650993599
9,1,17,Dark room,4,4,Miss,15.19572573225774
9,1,17,Dark room,5,5,Miss,7.79298995828944
9,1,17,Dark room,6,6,Miss,10.340421775730427
9,1,17,Dark room,7,7,Miss,16.592038324750828
9,1,17,Dark room,8,8,Miss,12.187939058758042
9,1,17,Dark room,9,9,Miss,17.56016137739058
9,1,17,Dark room,10,10,Miss,8.474572818142523
9,1,17,Lit room,1,11,Miss,10.136228081983925
9,1,17,Lit room,2,12,Miss,26.370681502949417
9,1,17,Lit room,3,13,Miss,7.89364380055244
9,1,17,Lit room,4,14,Hit,4.302699861714752
9,1,17,Lit room,5,15,Hit,3.8728560223690334
9,1,17,Lit room,6,16,Miss,8.384711458362782
9,1,17,Lit room,7,17,Miss,8.375281302738447
9,1,17,Lit room,8,18,Miss,9.763146646957637
9,1,17,Lit room,9,19,Miss,14.113471546363089
9,1,17,Lit room,10,20,Miss,9.21383222171968
9,2,18,Dark room,1,1,Miss,5.99026506926029
9,2,18,Dark room,2,2,Miss,9.317393930171677
9,2,18,Dark room,3,3,Miss,12.207724800305748
9,2,18,Dark room,4,4,Miss,9.884604378527245
9,2,18,Dark room,5,5,Miss,5.308688769366689
9,2,18,Dark room,6,6,Miss,9.761430102705239
9,2,18,Dark room,7,7,Miss,9.908808122574584
9,2,18,Dark room,8,8,Miss,7.148587214967724
9,2,18,Dark room,9,9,Miss,13.120637268821973
9,2,18,Dark room,10,10,Miss,9.212686713983068
9,2,18,Lit room,1,11,Miss,4.557991867039689
9,2,18,Lit room,2,12,Miss,5.451838431208328
9,2,18,Lit room,3,13,Miss,6.720606223399781
9,2,18,Lit room,4,14,Miss,10.639360169201897
9,2,18,Lit room,5,15,Miss,12.722783715052303
9,2,18,Lit room,6,16,Miss,10.195020106895312
